,id,spotify_id,list_name,list_id,song_id,song_name,artist,popularity,release_date,energy,liveness,tempo,speechiness,acousticness,instrumentalness,danceability,duration_ms,loudness,valence,mode,key
0,1,7nAScwBKXcvE6V2oe6KQkb,My Playlist #8,7nAScwBKXcvE6V2oe6KQkb,1ty518HppLocYdQXEznYDb,Nityananda,Shanti People,15,2017-04-18,0.601,0.118,94.998,0.0438,0.0614,0.0,0.715,420857,-8.411,0.719,1,10
1,1,7nAScwBKXcvE6V2oe6KQkb,My Playlist #8,7nAScwBKXcvE6V2oe6KQkb,7yxHmqBrmFPGD3ifItlhCM,Rama Raghava,Shanti People,8,2013-10-22,0.729,0.0931,121.02,0.0462,0.388,0.00015,0.726,264000,-6.328,0.399,0,6
2,1,7nAScwBKXcvE6V2oe6KQkb,My Playlist #8,7nAScwBKXcvE6V2oe6KQkb,3VZ7ThgOLB9PiaTrmeLnpl,Sri Siksastakam,Shanti People,13,2013-10-22,0.776,0.238,120.037,0.142,0.0518,5.99e-06,0.678,382000,-6.279,0.411,1,8
3,1,7nAScwBKXcvE6V2oe6KQkb,My Playlist #8,7nAScwBKXcvE6V2oe6KQkb,2BmwXAUDtEzKw4RGtHJu5B,Tandava - Blazy & Gottinari Remix,Shanti People,52,2017-01-18,0.886,0.0824,140.015,0.156,0.104,0.00762,0.635,312161,-5.007,0.134,0,4
4,1,7nAScwBKXcvE6V2oe6KQkb,My Playlist #8,7nAScwBKXcvE6V2oe6KQkb,3oZaGXAsCwE4sM6fw7vP3Q,Om Shanti,Psycrain,16,2021-07-02,0.887,0.14,171.94,0.0448,0.00267,0.167,0.51,272093,-5.851,0.318,1,8
5,1,7nAScwBKXcvE6V2oe6KQkb,My Playlist #8,7nAScwBKXcvE6V2oe6KQkb,2V8YmBXbJtWU5V2TC6DQpi,Sacred Channel,Tabla Beat Science,9,2002-06-09,0.994,0.853,154.643,0.0848,0.00569,0.875,0.404,448973,-4.096,0.677,0,11
6,1,7nAScwBKXcvE6V2oe6KQkb,My Playlist #8,7nAScwBKXcvE6V2oe6KQkb,7d8AxrcJaFFFCsEGyR3LEP,Ganapati Om,Govind Das,42,2016-01-15,0.255,0.116,123.992,0.0415,0.419,0.583,0.897,361303,-11.939,0.42,0,7
7,1,7nAScwBKXcvE6V2oe6KQkb,My Playlist #8,7nAScwBKXcvE6V2oe6KQkb,4BQHeiOozrtNGIWl4UGayZ,Shloks,Bandish Projekt,7,2021-11-04,0.444,0.0978,101.986,0.19,0.224,0.0806,0.531,254118,-9.833,0.2,1,8
8,1,7nAScwBKXcvE6V2oe6KQkb,My Playlist #8,7nAScwBKXcvE6V2oe6KQkb,3WAAV3pEmwL52kpr5wQCiD,Ganesha Mantra,U108,16,2020-02-04,0.431,0.0874,214.083,0.0945,0.0266,0.865,0.598,271104,-11.254,0.0664,1,1
9,1,7nAScwBKXcvE6V2oe6KQkb,My Playlist #8,7nAScwBKXcvE6V2oe6KQkb,3YebIhkNJqbuq4TSG2gME0,OceaNarayana - Chill Mix,ChrisNa Karast,11,2020-07-05,0.566,0.107,88.01,0.0487,0.0494,0.518,0.67,355000,-10.941,0.125,1,2
10,1,7nAScwBKXcvE6V2oe6KQkb,My Playlist #8,7nAScwBKXcvE6V2oe6KQkb,5u98y92lX10B8SDHvq70Lr,Swaha - Original Mix,Sattyananda,0,2015-06-08,0.344,0.168,168.096,0.0407,0.0932,0.799,0.651,356000,-15.853,0.0391,1,2
11,1,7nAScwBKXcvE6V2oe6KQkb,My Playlist #8,7nAScwBKXcvE6V2oe6KQkb,6rUoCMMeycW892nD5MLTUK,Lila,Benjy Wertheimer,26,2012-06-19,0.487,0.0559,103.98,0.0454,0.251,0.814,0.771,483280,-13.563,0.502,1,0
12,1,7nAScwBKXcvE6V2oe6KQkb,My Playlist #8,7nAScwBKXcvE6V2oe6KQkb,3dayLmwnivVbJUMjfGuwxF,Lila - Dersy Remix,John De Kadt,18,2022-04-15,0.603,0.106,112.989,0.0433,0.233,0.841,0.703,293187,-9.524,0.456,0,9
13,1,7nAScwBKXcvE6V2oe6KQkb,My Playlist #8,7nAScwBKXcvE6V2oe6KQkb,5P4TflTQcCMOJsrPYRrjgT,Controversial Subject - Original Mix,Sattyananda,0,2014-08-25,0.595,0.342,103.994,0.0552,0.162,0.849,0.775,392000,-16.534,0.202,1,8
14,1,7nAScwBKXcvE6V2oe6KQkb,My Playlist #8,7nAScwBKXcvE6V2oe6KQkb,6vJr5LxKX04jyayMUuUsd1,Bhajan,Sheila Chandra,15,1992,0.122,0.07,93.816,0.036,0.73,0.0505,0.194,424573,-15.392,0.0805,1,2
15,1,7nAScwBKXcvE6V2oe6KQkb,My Playlist #8,7nAScwBKXcvE6V2oe6KQkb,7LgkoB9hL62wNQ07CatfXZ,Dancing Blossoms (Sidereal Remix),Elea,27,2020-07-12,0.64,0.117,180.624,0.0529,0.2,0.678,0.582,497010,-7.855,0.155,1,8
16,1,7nAScwBKXcvE6V2oe6KQkb,My Playlist #8,7nAScwBKXcvE6V2oe6KQkb,7FHfjK0r7kqRKIxG3D1mjd,The Only Thing They Carried with Them - Original Mix,Flux Natura,7,2014-06-16,0.632,0.116,104.995,0.0437,0.171,0.836,0.462,721875,-10.604,0.105,0,5
17,1,7nAScwBKXcvE6V2oe6KQkb,My Playlist #8,7nAScwBKXcvE6V2oe6KQkb,17TAi8fH67iV21LrXSJdxR,Oracle Seer,JaguarTree,3,2020-07-02,0.594,0.312,89.985,0.0416,0.0249,0.883,0.625,358000,-9.932,0.159,1,2
18,1,7nAScwBKXcvE6V2oe6KQkb,My Playlist #8,7nAScwBKXcvE6V2oe6KQkb,43sAvmgpPT1W4H3tBX90fr,Into the Roots,JaguarTree,2,2020-07-02,0.557,0.677,95.0,0.0593,0.102,0.763,0.45,344500,-11.528,0.0974,1,6
19,1,7nAScwBKXcvE6V2oe6KQkb,My Playlist #8,7nAScwBKXcvE6V2oe6KQkb,4j5jqhnfFefCWq6uWOpBLU,Elysian,JaguarTree,3,2022-03-24,0.59,0.0568,180.041,0.0559,0.0259,0.933,0.589,555000,-11.547,0.0528,1,2
20,1,7nAScwBKXcvE6V2oe6KQkb,My Playlist #8,7nAScwBKXcvE6V2oe6KQkb,5WMDrEscDgpPjz2wvHpACf,Golden Bow,Govinda,22,2022-01-03,0.691,0.107,170.021,0.124,0.109,0.036,0.677,296471,-4.027,0.248,1,9
21,1,7nAScwBKXcvE6V2oe6KQkb,My Playlist #8,7nAScwBKXcvE6V2oe6KQkb,7tES154YCbb89o6zbrmvdk,Dervish,Govinda,16,2010-09-21,0.828,0.0939,120.009,0.0347,0.0852,0.336,0.667,362837,-6.464,0.353,0,9
22,1,7nAScwBKXcvE6V2oe6KQkb,My Playlist #8,7nAScwBKXcvE6V2oe6KQkb,7hZhj3K9DjIcIZtfsjQFH5,Roots Of The Earth - Mose Remix,Liquid Bloom,33,2018-03-20,0.535,0.227,106.009,0.0374,0.0708,0.773,0.702,896604,-11.106,0.388,1,1
23,1,7nAScwBKXcvE6V2oe6KQkb,My Playlist #8,7nAScwBKXcvE6V2oe6KQkb,7AIQWPsKVYPpjBnbwKTePs,Rajas,WAYVES,3,2019-07-19,0.535,0.116,115.048,0.0406,0.403,0.776,0.624,338087,-11.946,0.0344,1,1
24,1,7nAScwBKXcvE6V2oe6KQkb,My Playlist #8,7nAScwBKXcvE6V2oe6KQkb,5xJFGskY14rabg52niKPaM,Across The Threshold,Flooting Grooves,31,2007-03-30,0.731,0.57,173.994,0.0633,0.0123,0.629,0.649,448533,-11.693,0.638,0,10
